"Projeto","Cliente","Service Order","Workshop","Descrição da Atividade","Rastreabilidade","Qnt. Planejada","Qnt. Executada","Recursos Planejados","Recursos Utilizados","Setor","Semana","Ano","Dia","Status","Categoria Não Executado","Justificativa"
"CON-Diverter FS21-470005982","Constellation","470007353","Riser","Send Item","Diverter Piston para Labodiesel","1",,"1",,"Logistic","W08","2026","05. Sexta","Não Executado",,
"CON-Test Stump 16.750-470007305","Constellation","470007305","Topside&BOP","Send Item","Stump para Labodiesel","1","1","1","1","HBM","W08","2026","05. Sexta","Concluído",,
"FOR-BOP Annular-470006450","Foresea","470007297","Topside&BOP","Annular Body - Usinagem","Code62","0.2","0.2","1","1","HBM","W08","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Caixa de Choke&Kill - Pré Usinagem","xx","2","2","2","2","CNC","W07","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Caixa de Choke&Kill - Pré Usinagem","AMS-CK-B-127","1","2","2","2","CNC","W07","2026","04. Quinta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Caixa de Choke&Kill - Usinagem Final","xx","1","1","1","1","CNC","W07","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Caixa de Choke&Kill - Usinagem Final","xx","1","1","1","1","CNC","W07","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Caixa de Choke&Kill - Usinagem Final","xx","1","1","1","1","CNC","W07","2026","06. Sábado","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Flange Lado Pino FT-H - Pré Usinagem","xx","1",,"2",,"Trawema","W07","2026","01. Segunda","Não Executado","Atividade Predecessora","Main line não entrou no reserva 1"
"CSA - Amaralina Star","Constellation","470004734","Riser","Flange Lado Pino FT-H - Pré Usinagem","AMS-024","1","1","2","1","Trawema","W07","2026","02. Terça","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Flange Lado Pino FT-H - Pré Usinagem","AMS-043","1","1","2","1","Trawema","W07","2026","03. Quarta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Flange Lado Pino FT-H - Pré Usinagem","xx","1","1","2","1","Trawema","W07","2026","04. Quinta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Flange Lado Pino FT-H - Pré Usinagem","AMS-080","1","1","2","1","Trawema","W07","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Caixa de Choke&Kill FT-H - Solda Cladding","xx","2","2","2","2","Cladding","W07","2026","04. Quinta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Caixa de Choke&Kill FT-H - Solda Cladding","xx","2","2","2","2","Cladding","W07","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Caixa de Choke&Kill FT-H - Solda Cladding","xx","2","2","2","2","Cladding","W07","2026","03. Quarta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Linha de Choke&Kill - Tratamento Térmico","xx","4","4","2","2","Tratamento Térmico","W07","2026","01. Segunda","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Linha de Choke&Kill - Tratamento Térmico","xx","1","1","2","2","Tratamento Térmico","W07","2026","02. Terça","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Linha de Choke&Kill - Tratamento Térmico","xx","1",,"2",,"Tratamento Térmico","W07","2026","05. Sexta","Não Executado","Atividade Predecessora","Não havia linha disponível."
"CSA - Amaralina Star","Constellation","470004734","Riser","Linha de Choke&Kill e Booster - Tratamento Térmico","LGS-CK-26 (LGS-036) & AMS-BO-38 (AMS-004)","2","2","1","2","Tratamento Térmico","W07","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Flange Pino FT-H - Tratamento Térmico","xx","0",,"2",,"Tratamento Térmico","W07","2026","03. Quarta","Não Executado","Planejamento Incorreto","Flange é inconel"
"CSA - Amaralina Star","Constellation","470004734","Riser","Flange Pino FT-H - Tratamento Térmico","AMS-080","1","1","2","2","Tratamento Térmico","W07","2026","04. Quinta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Flange Pino FT-H - Tratamento Térmico","xx","1",,"2",,"Tratamento Térmico","W07","2026","05. Sexta","Não Executado","Atividade Predecessora","Não foi movimentado flange para reparo"
"CSA - Amaralina Star","Constellation","470004734","Riser","Flange Pino Inconel x Inconel - Solda Orbital","AMS-075","1",,"1",,"Orbital","W07","2026","01. Segunda","Não Executado","Atividade Predecessora","Main line não entrou no riser 1"
"CSA - Amaralina Star","Constellation","470004734","Riser","Flange Pino - Solda Orbital","XX","1",,"1",,"Orbital","W07","2026","02. Terça","Não Executado","Atividade Predecessora","Flange ainda em usinagem"
"CSA - Amaralina Star","Constellation","470004734","Riser","Flange Pino - Solda Orbital","AMS-056","1","1","1","1","Orbital","W07","2026","03. Quarta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Flange Pino - Solda Orbital","XX","1",,"1",,"Orbital","W07","2026","04. Quinta","Não Executado","Atividade Predecessora","Flange não entrou para usinagem"
"CSA - Amaralina Star","Constellation","470004734","Riser","Flange Pino - Solda Orbital","XX","1","1","1","1","Orbital","W07","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Choke&Kill Tubo x Tubo - Solda Orbital","LGS-051","2","1","1","1","Orbital","W07","2026","01. Segunda","Parcial",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Choke&Kill Tubo x Tubo - Solda Orbital","AMS-CK145/168","2","2","1","2","Orbital","W07","2026","02. Terça","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Choke&Kill Tubo x Tubo - Solda Orbital","xx","2",,"1",,"Orbital","W07","2026","04. Quinta","Não Executado","Atividade Predecessora","Sem linha disponível"
"CSA - Amaralina Star","Constellation","470004734","Riser","Choke&Kill Tubo x Tubo - Solda Orbital","xx","2","2","1","1","Orbital","W07","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Choke&Kill Tubo x Tubo - Solda Orbital","AMS-CK-131 & 166","2","2","1","1","Orbital","W07","2026","02. Terça","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Booster Tubo x Tubo - Solda Orbital","AMS-004","1","1","1","1","Orbital","W07","2026","03. Quarta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Main Pipe Tubo x Tubo - Solda Orbital","AMS-090","1",,"2",,"Orbital","W07","2026","06. Sábado","Não Executado","Prioridade Alinhada com Planejamento","Priorizada as linhas"
"CSA - Amaralina Star","Constellation","470004734","Riser","Main Pipe Tubo x Tubo - Solda Orbital","AMS-090","1",,"2",,"Orbital","W07","2026","05. Sexta","Não Executado","Prioridade Alinhada com Planejamento","Priorizado as linhas"
"CSA - Amaralina Star","Constellation","470004734","Riser","Choke&Kill Tubo x Tubo - Bisel","xx","4","2","1","1","Bisel","W07","2026","01. Segunda","Parcial",,"Atraso na liberação do escopo e tag"
"CSA - Amaralina Star","Constellation","470004734","Riser","Choke&Kill Tubo x Tubo - Bisel","xx","4","4","1","1","Bisel","W07","2026","02. Terça","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Choke&Kill Tubo x Tubo - Bisel","xx","4","4","1","1","Bisel","W07","2026","04. Quinta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Booster Tubo x Tubo - Bisel","AMS-004 BO","2","2","1","1","Bisel","W07","2026","02. Terça","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Choke&Kill Tubo x Tubo - Bisel","xx","6","4","1","1","Bisel","W07","2026","03. Quarta","Parcial",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Booster Tubo x Tubo - Bisel","xx","2",,"1",,"Bisel","W07","2026","04. Quinta","Não Executado","Planejamento Incorreto","Sem linha disponível"
"CSA - Amaralina Star","Constellation","470004734","Riser","Main Pipe Tubo x Tubo - Bisel","AMS-090","2",,"1",,"Bisel","W07","2026","05. Sexta","Não Executado","Prioridade Alinhada com Planejamento","Priorizado as linhas"
"CSA - Amaralina Star","Constellation","470004734","Riser","Main Pipe Tubo x Tubo - Bisel","AMS-090","2",,"1",,"Bisel","W07","2026","04. Quinta","Não Executado","Prioridade Alinhada com Planejamento","Priorizado as linhas"
"CON-H4 Connector DxE-470006272","Constellation","470006972","Riser","Preparação para Solda","Lower Body","1","1","1","1","Solda Manual","W07","2026","02. Terça","Concluído",,
"CON-H4 Connector DxE-470006272","Constellation","470006972","Riser","Solda Manual","Lower Body","1","1","1","1","Solda Manual","W07","2026","02. Terça","Concluído",,
"CON-H4 Connector DxE-470006272","Constellation","470006972","Riser","Inspeção Visual Dimensional de Solda","Lower Body","1","1","1","1","Inspeção","W07","2026","03. Quarta","Concluído",,
"CON-H4 Connector DxE-470006272","Constellation","470006972","Riser","Acabamento Lower Body","Lower Body","1","1","1","1","Solda Manual","W07","2026","03. Quarta","Concluído",,
"CON-H4 Connector DxE-470006272","Constellation","470006972","Riser","Inspeção PM","Lower Body","1","1","1","1","Inspeção","W07","2026","03. Quarta","Concluído",,
"CON-H4 Connector DxE-470006272","Constellation","470006972","Riser","Send Item - Riser para Topside","Lower Body","1","1","1",,"Logistica","W07","2026","04. Quinta","Concluído",,
"CON-H4 Connector DxE-470006272","Constellation","470006972","Topside&BOP","Retoque de Pintura","Lower Body","1","1","1",,"Mecânico Hidraulico","W07","2026","04. Quinta","Concluído",,
"VEN-90 Bolts HMF Modification - 470007281","Ventura","470007281","Riser","Segregação de 20 unidades - Mecânica","Modelo LK-3.5","20","20","1","1","Mecânico Riser","W07","2026","02. Terça","Concluído",,
"VEN-90 Bolts HMF Modification - 470007281","Constellation","470007281","Riser","Inspeções com Engenharia ","Bolts segregados modelo LK-3.5","20",,"1",,"Inspeção","W07","2026","04. Quinta","Não Executado","Capacidade","Precisou ser reagendada para atender os gaps da Amaralina"
"CSA - Amaralina Star","Constellation","470004734","Riser","Deixar risers prontos - Mecânica","13J - LGS-080 / AMS-046 / AMS-080 / LGS-054 / LGS-011 / LGS-076 / LGS-068 / LGS-035 / LGS-062 / LGS-060 / LGS-077 / AMS-112 / AMS-075","2","2","8","4","Mecânico Riser","W07","2026","01. Segunda","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Deixar risers prontos - Mecânica","13J - LGS-080 / AMS-046 / AMS-080 / LGS-054 / LGS-011 / LGS-076 / LGS-068 / LGS-035 / LGS-062 / LGS-060 / LGS-077 / AMS-112 / AMS-075","2","2","8","4","Mecânico Riser","W07","2026","02. Terça","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Deixar risers prontos - Mecânica","13J - LGS-080 / AMS-046 / AMS-080 / LGS-054 / LGS-011 / LGS-076 / LGS-068 / LGS-035 / LGS-062 / LGS-060 / LGS-077 / AMS-112 / AMS-075","2","2","8","4","Mecânico Riser","W07","2026","03. Quarta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Deixar risers prontos - Mecânica","13J - LGS-080 / AMS-046 / AMS-080 / LGS-054 / LGS-011 / LGS-076 / LGS-068 / LGS-035 / LGS-062 / LGS-060 / LGS-077 / AMS-112 / AMS-075","2","2","8","4","Mecânico Riser","W07","2026","04. Quinta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Deixar risers prontos - Mecânica","13J - LGS-080 / AMS-046 / AMS-080 / LGS-054 / LGS-011 / LGS-076 / LGS-068 / LGS-035 / LGS-062 / LGS-060 / LGS-077 / AMS-112 / AMS-075","2","2","8","4","Mecânico Riser","W07","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Deixar risers prontos - Mecânica","13J - LGS-080 / AMS-046 / AMS-080 / LGS-054 / LGS-011 / LGS-076 / LGS-068 / LGS-035 / LGS-062 / LGS-060 / LGS-077 / AMS-112 / AMS-075","2","2","8","4","Mecânico Riser","W07","2026","06. Sábado","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Deixar risers prontos - Mecânica","13J - LGS-080 / AMS-046 / AMS-080 / LGS-054 / LGS-011 / LGS-076 / LGS-068 / LGS-035 / LGS-062 / LGS-060 / LGS-077 / AMS-112 / AMS-075","2",,"8",,"Mecânico Riser","W07","2026","07. Domingo","Não Executado","Planejamento Incorreto","Sem atividade"
"CSA - Amaralina Star","Constellation","470004734","Riser","Inspeções pós reparo de Caixa e Flange","Caixa & Flange","1",,"2",,"Inspeção","W07","2026","01. Segunda","Não Executado","Planejamento Incorreto","Operadores precisaram fechar relatório "
"CSA - Amaralina Star","Constellation","470004734","Riser","Inspeções pós reparo de Caixa e Flange","Caixa & Flange","1","1","2","1","Inspeção","W07","2026","02. Terça","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Inspeções pós reparo de Caixa e Flange","Caixa & Flange","1","1","2","1","Inspeção","W07","2026","03. Quarta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Inspeções pós reparo de Caixa e Flange","Caixa & Flange","1","1","2","1","Inspeção","W07","2026","04. Quinta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Inspeções pós reparo de Caixa e Flange","Caixa & Flange","1","1","2","1","Inspeção","W07","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Inspeções pós reparo de Caixa e Flange","Caixa & Flange","1","1","2","1","Inspeção","W07","2026","06. Sábado","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Inspeções pós reparo de linhas","Linhas","1","1","2","2","Inspeção","W07","2026","01. Segunda","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Inspeções pós reparo de linhas","Linhas","1","1","2","2","Inspeção","W07","2026","02. Terça","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Inspeções pós reparo de linhas","Linhas","1","1","2","1","Inspeção","W07","2026","03. Quarta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Inspeções pós reparo de linhas","Linhas","1","1","2","1","Inspeção","W07","2026","04. Quinta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Inspeções pós reparo de linhas","Linhas","1","1","2","1","Inspeção","W07","2026","05. Sexta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Inspeções pós reparo de linhas","Linhas","1","1","2","1","Inspeção","W07","2026","06. Sábado","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Linha Choke&Kill - Teste de pressão 1.5x ","AMS-CK-30 ou AMS-CK-67 ou AMS-CK-25 ou AMS-CK-18 ou AMS-CK-7","2",,"2",,"Teste de Pressão","W07","2026","02. Terça","Não Executado","Atividade Predecessora","Sem linha para teste nesse dia"
