;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CATEGORY;2025 Demand;2026 Demand;2027 Demand;;;;
Product Line;Equipment;Type;2025 - Demand (Volumes);;;;;;;;;;;;2026 - Demand (Volumes);;;;;;;;;;;;2027 - Demand (Volumes);;;;;;;;;;;;;;;;;;;;;;;;;;;;;O&R RISER FIRM;83;64;38;;;;
;;;January-25;February-25;March-25;April-25;May-25;June-25;July-25;August-25;September-25;October-25;November-25;December-25;January-26;February-26;March-26;April-26;May-26;June-26;July-26;August-26;September-26;October-26;November-26;December-26;January-27;February-27;March-27;April-27;May-27;June-27;July-27;August-27;September-27;October-27;November-27;December-27;;;;;;;;;;;;;;;;;;O&R RISER RISK RELEASE;0;0;0;;;;
Pressure Control;H4 Connector;Firm;2130;1778;445;252;736;523;152;823;783;1342;1921;764;638;950;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;O&R RISER FCST;0;19;0;;;;
;;Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;O&R RISER TOTAL Hrs.;83;83;38;;;;
;;Forecast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1075;779;1168;389;779;779;779;389;0;0;500;500;500;500;500;500;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;O&R TOPSIDE FIRM;24;4;0;;;;
;Bonnet;Firm;211;822;974;763;352;544;400;400;522;668;600;300;120;30;202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;O&R TOPSIDE RISK RELEASE;0;0;0;;;;
;;Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;O&R TOPSIDE FCST;0;14;2;;;;
;;Forecast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;528;660;264;528;370;1110;1480;740;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;O&R TOPSIDE TOTAL Hrs.;24;18;2;;;;
;BOP Annular;Firm;262;262;262;0;0;0;0;0;0;0;296;20;270;152;180;278;278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;O&R PRESSURE CONTROL FIRM;29;5;0;;;;
;;Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;O&R PRESSURE CONTROL RISK RELEASE;0;0;0;;;;
;;Forecast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;176;0;132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;O&R PRESSURE CONTROL FCST;0;12;3;;;;
;Annular Piston;Firm;424;257;257;257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;O&R PRESSURE CONTROL TOTAL Hrs.;29;17;3;;;;
;;Risk Release;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;OTHERS FIRM;8;1;0;;;;
